,article_title,article_section,article_date,article_url,title_sentiment
0,Brexit weekly briefing: get ready for Brexit – and a snap election?,Politics,2019-09-03,https://www.theguardian.com/politics/2019/sep/03/brexit-weekly-briefing-get-ready-for-brexit-and-a-snap-election,0.2
1,Crossword blog: Philistine's hidden Brexit message,Crosswords,,https://www.theguardian.com/crosswords/crossword-blog/2019/sep/16/crossword-blog-philistines-hidden-brexit-message,-0.16666666666666666
2,Tory Brexit advert ‘could breach privacy’,Politics,2019-09-15,https://www.theguardian.com/politics/2019/sep/15/tory-brexit-online-data-information-voters-privacy,0.0
3,Brexit chaos 'making business planning impossible',Politics,2019-09-07,https://www.theguardian.com/politics/2019/sep/07/brexit-chaos-making-business-planning-impossible,-0.6666666666666666
4,No-deal Brexit threatens overseas territories | Letter,Politics,2019-09-05,https://www.theguardian.com/politics/2019/sep/05/no-deal-brexit-threatens-overseas-territories,0.0
5,"At last, the Labour position on Brexit | Letters",Politics,2019-09-08,https://www.theguardian.com/politics/2019/sep/08/at-last-the-labour-position-on-brexit,0.0
6,Is Iain Duncan Smith the Brexit bogeyman? | Stewart Lee,Opinion,2019-09-08,https://www.theguardian.com/commentisfree/2019/sep/08/is-iain-duncan-smith-brexit-bogeyman,0.0
7,What is the Brexit backstop?,Politics,2018-10-15,https://www.theguardian.com/politics/2018/oct/15/what-is-the-brexit-backstop,0.0
8,Stephen Collins on Brexit and sovereignty – cartoon,Life and style,,https://www.theguardian.com/lifeandstyle/ng-interactive/2019/sep/21/stephen-collins-on-brexit-and-sovereignty-cartoon,0.0
9,Cameron to defend Brexit referendum in documentary,Politics,2019-09-10,https://www.theguardian.com/politics/2019/sep/10/cameron-to-defend-brexit-referendum-in-documentary,0.0
10,What is the Brexit backstop?,Politics,2018-10-15,https://www.theguardian.com/politics/2018/oct/15/what-is-the-brexit-backstop,0.0
11,Macron tells Johnson Brexit backstop is indispensable,Politics,2019-08-22,https://www.theguardian.com/politics/2019/aug/22/emmanuel-macron-backs-month-of-talks-to-agree-brexit-deal,0.4
12,Brexit under Boris Johnson: The Scenarios,Politics,,https://www.theguardian.com/politics/ng-interactive/2019/jul/23/brexit-under-boris-johnson-the-scenarios,0.0
13,No 10 plays down hopes of Brexit breakthrough,Politics,2019-09-13,https://www.theguardian.com/politics/2019/sep/13/no-10-plays-down-hopes-of-brexit-breakthrough,-0.15555555555555559
14,Cameron to defend Brexit referendum in documentary,Politics,2019-09-10,https://www.theguardian.com/politics/2019/sep/10/cameron-to-defend-brexit-referendum-in-documentary,0.0
15,Tumbling towards a no-deal Brexit catastrophe | Letters,Politics,2019-08-14,https://www.theguardian.com/politics/2019/aug/14/tumbling-towards-a-no-deal-brexit-catastrophe,0.0
16,Brexit: Tom Watson to break Labour's uneasy truce,Politics,2019-09-10,https://www.theguardian.com/politics/2019/sep/10/tom-watson-to-break-labours-uneasy-truce-over-brexit,0.0
17,The language of Brexit ‘betrayal’ is poisoning politics | Jonathan Lis,Opinion,2019-09-21,https://www.theguardian.com/commentisfree/2019/sep/21/brexit-betrayal-politics-culture-war,0.0
18,The Upside escapes Brexit for the continent,World news,2019-09-06,https://www.theguardian.com/world/2019/sep/06/the-upside-escapes-brexit-for-the-continent,0.0
